ID,Data,Produto,Categoria,Quantidade,Preço
120,2023-10-03,Feijão Carioca 1kg,Mercearia,1,9.8
121,2023-11-14,Água Mineral 1.5L,Bebidas,3,2.01
122,2023-04-18,Suco de Laranja 1L,Bebidas,10,10.41
123,2023-12-27,Cebola Kg,Hortifrúti,8,9.32
124,2023-12-16,Arroz Branco 5kg,Mercearia,5,32.03
125,2023-09-12,Queijo Mussarela Fatiado 200g,Laticínios e Frios,1,13.33
126,2023-02-11,Água Mineral 1.5L,Bebidas,3,3.77
127,2023-11-29,Cebola Kg,Hortifrúti,7,5.19
128,2023-12-11,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,17.28
129,2023-08-26,Biscoito Recheado,Mercearia,10,4.79
130,2023-12-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,17.3
131,2023-12-20,Sabão em Pó 1kg,Limpeza,6,22.04
132,2023-05-05,Detergente Líquido 500ml,Limpeza,7,3.09
133,2023-05-07,Arroz Branco 5kg,Mercearia,3,30.45
134,2023-06-17,Suco de Laranja 1L,Bebidas,7,9.94
135,2023-08-04,Arroz Branco 5kg,Mercearia,10,32.57
136,2023-04-22,Água Mineral 1.5L,Bebidas,2,3.23
137,2023-10-12,Água Mineral 1.5L,Bebidas,7,2.45
138,2023-09-23,Arroz Branco 5kg,Mercearia,9,26.9
139,2023-03-29,Suco de Laranja 1L,Bebidas,7,10.61
140,2023-11-25,Água Sanitária 1L,Limpeza,7,4.75
141,2023-05-16,Iogurte Natural Copo,Laticínios e Frios,1,4.71
142,2023-08-02,Detergente Líquido 500ml,Limpeza,10,3.36
143,2023-07-21,Tomate Kg,Hortifrúti,10,8.02
144,2023-07-18,Tomate Kg,Hortifrúti,5,10.87
145,2023-08-23,Água Mineral 1.5L,Bebidas,8,2.31
146,2023-12-21,Banana Prata Kg,Hortifrúti,7,6.92
147,2023-03-19,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,15.78
148,2023-12-25,Água Sanitária 1L,Limpeza,5,4.23
149,2023-02-28,Biscoito Recheado,Mercearia,1,4.35
150,2023-05-25,Suco de Laranja 1L,Bebidas,5,11.61
151,2023-04-06,Iogurte Natural Copo,Laticínios e Frios,4,4.91
152,2023-03-24,Arroz Branco 5kg,Mercearia,7,34.4
153,2023-04-22,Arroz Branco 5kg,Mercearia,3,30.47
154,2023-06-16,Arroz Branco 5kg,Mercearia,5,26.48
155,2023-08-11,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,15.1
156,2023-12-13,Tomate Kg,Hortifrúti,7,9.56
157,2023-04-19,Refrigerante 2L,Bebidas,9,9.88
158,2023-05-31,Feijão Carioca 1kg,Mercearia,7,10.74
159,2023-09-12,Detergente Líquido 500ml,Limpeza,2,3.24
160,2023-02-02,Suco de Laranja 1L,Bebidas,6,11.37
161,2023-06-08,Tomate Kg,Hortifrúti,2,10.15
162,2023-10-24,Água Sanitária 1L,Limpeza,6,6.65
163,2023-08-09,Leite Integral 1L,Laticínios e Frios,7,7.56
164,2023-03-11,Água Sanitária 1L,Limpeza,1,4.25
165,2023-07-14,Queijo Mussarela Fatiado 200g,Laticínios e Frios,6,13.39
166,2023-03-20,Sabão em Pó 1kg,Limpeza,3,23.63
167,2023-07-09,Suco de Laranja 1L,Bebidas,1,8.3
168,2023-08-14,Arroz Branco 5kg,Mercearia,7,29.16
169,2023-04-29,Tomate Kg,Hortifrúti,6,10.82
170,2023-04-14,Refrigerante 2L,Bebidas,8,10.81
171,2023-08-19,Suco de Laranja 1L,Bebidas,2,9.56
172,2023-05-01,Refrigerante 2L,Bebidas,10,8.89
173,2023-11-26,Banana Prata Kg,Hortifrúti,8,8.2
174,2023-01-21,Detergente Líquido 500ml,Limpeza,7,3.49
175,2023-03-15,Biscoito Recheado,Mercearia,1,3.37
176,2023-01-10,Detergente Líquido 500ml,Limpeza,2,2.43
177,2023-10-18,Tomate Kg,Hortifrúti,2,10.06
178,2023-08-26,Cebola Kg,Hortifrúti,6,8.81
179,2023-06-22,Arroz Branco 5kg,Mercearia,9,29.79
180,2023-04-15,Banana Prata Kg,Hortifrúti,4,7.15
181,2023-09-07,Cebola Kg,Hortifrúti,1,9.01
182,2023-06-27,Banana Prata Kg,Hortifrúti,5,5.17
183,2023-10-08,Leite Integral 1L,Laticínios e Frios,2,5.51
184,2023-03-31,Arroz Branco 5kg,Mercearia,3,33.94
185,2023-02-16,Detergente Líquido 500ml,Limpeza,1,2.68
186,2023-10-01,Leite Integral 1L,Laticínios e Frios,10,6.52
187,2023-11-13,Cebola Kg,Hortifrúti,2,7.35
188,2023-04-07,Arroz Branco 5kg,Mercearia,2,29.53
189,2023-01-24,Leite Integral 1L,Laticínios e Frios,7,6.66
190,2023-08-31,Iogurte Natural Copo,Laticínios e Frios,8,3.31
191,2023-05-12,Refrigerante 2L,Bebidas,10,7.82
192,2023-01-18,Cebola Kg,Hortifrúti,9,5.07
193,2023-10-07,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,14.41
194,2023-12-30,Leite Integral 1L,Laticínios e Frios,1,7.18
195,2023-03-20,Biscoito Recheado,Mercearia,5,4.08
196,2023-03-05,Cebola Kg,Hortifrúti,5,5.19
197,2023-09-24,Cebola Kg,Hortifrúti,3,5.69
198,2023-11-22,Refrigerante 2L,Bebidas,4,8.84
199,2023-05-02,Sabão em Pó 1kg,Limpeza,10,23.8
200,2023-07-07,Sabão em Pó 1kg,Limpeza,5,19.86
201,2023-08-08,Banana Prata Kg,,9,6.97
202,2023-06-15,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,16.68
203,2023-04-14,Refrigerante 2L,Bebidas,9,7.19
204,2023-12-14,Suco de Laranja 1L,Bebidas,1,12.86
205,2023-11-15,Detergente Líquido 500ml,Limpeza,6,3.92
206,2023-05-03,Biscoito Recheado,Mercearia,4,3.14
207,2023-09-24,Suco de Laranja 1L,Bebidas,2,9.09
208,2023-01-22,Biscoito Recheado,Mercearia,10,3.17
209,2023-10-24,Banana Prata Kg,Hortifrúti,10,6.09
210,2023-02-08,Água Sanitária 1L,Limpeza,6,6.16
211,2023-07-14,Tomate Kg,Hortifrúti,2,9.73
212,2023-04-20,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,14.85
213,2023-05-17,Biscoito Recheado,Mercearia,4,4.21
214,2023-11-15,Detergente Líquido 500ml,Limpeza,7,3.45
215,2023-08-19,Leite Integral 1L,Laticínios e Frios,5,5.2
216,2023-03-30,Queijo Mussarela Fatiado 200g,Laticínios e Frios,4,14.15
217,2023-10-27,Detergente Líquido 500ml,Limpeza,9,2.21
218,2023-08-12,Arroz Branco 5kg,Mercearia,9,29.92
219,2023-02-26,Queijo Mussarela Fatiado 200g,Laticínios e Frios,9,14.49
220,2023-04-24,Iogurte Natural Copo,Laticínios e Frios,4,4.06
221,2023-01-19,Suco de Laranja 1L,Bebidas,9,9.22
222,2023-02-25,Sabão em Pó 1kg,Limpeza,7,22.85
223,2023-09-28,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,17.53
224,2023-09-15,Refrigerante 2L,,9,8.92
225,2023-05-29,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,16.43
226,2023-05-10,Sabão em Pó 1kg,Limpeza,7,18.65
227,2023-01-23,Refrigerante 2L,Bebidas,4,10.85
228,2023-10-08,Leite Integral 1L,Laticínios e Frios,5,7.3
229,2023-11-07,Biscoito Recheado,Mercearia,10,3.56
230,2023-01-18,Leite Integral 1L,Laticínios e Frios,10,6.53
231,2023-01-23,Água Mineral 1.5L,Bebidas,1,2.21
232,2023-04-23,Suco de Laranja 1L,Bebidas,4,9.26
233,2023-03-28,Iogurte Natural Copo,Laticínios e Frios,4,4.71
234,2023-05-08,Água Mineral 1.5L,Bebidas,7,3.82
235,2023-04-18,Sabão em Pó 1kg,Limpeza,6,23.22
236,2023-02-01,Sabão em Pó 1kg,Limpeza,5,15.82
237,2023-05-27,Água Sanitária 1L,Limpeza,3,6.88
238,2023-09-27,Sabão em Pó 1kg,Limpeza,10,17.51
239,2023-03-05,Suco de Laranja 1L,Bebidas,2,12.37
240,2023-06-06,Água Mineral 1.5L,Bebidas,1,3.19
241,2023-03-03,Detergente Líquido 500ml,Limpeza,7,3.19
242,2023-07-18,Queijo Mussarela Fatiado 200g,Laticínios e Frios,1,17.85
243,2023-05-22,Refrigerante 2L,Bebidas,10,8.92
244,2023-10-07,Queijo Mussarela Fatiado 200g,Laticínios e Frios,10,13.29
245,2023-05-19,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,16.05
246,2023-05-22,Biscoito Recheado,Mercearia,6,4.97
247,2023-12-14,Arroz Branco 5kg,Mercearia,3,33.37
248,2023-01-29,Leite Integral 1L,Laticínios e Frios,5,7.71
249,2023-01-03,Água Mineral 1.5L,Bebidas,2,3.44
250,2023-07-17,Cebola Kg,Hortifrúti,4,7.75
251,2023-10-19,Biscoito Recheado,Mercearia,3,4.29
252,2023-08-18,Feijão Carioca 1kg,Mercearia,10,10.43
253,2023-04-20,Arroz Branco 5kg,Mercearia,8,26.66
254,2023-10-20,Arroz Branco 5kg,Mercearia,6,27.58
255,2023-05-17,Água Sanitária 1L,Limpeza,3,6.36
256,2023-09-25,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,14.44
257,2023-09-10,Sabão em Pó 1kg,Limpeza,2,19.33
258,2023-06-02,Água Mineral 1.5L,Bebidas,8,2.58
259,2023-01-05,Arroz Branco 5kg,Mercearia,3,25.52
260,2023-01-06,Cebola Kg,Hortifrúti,7,7.48
261,2023-06-23,Água Sanitária 1L,Limpeza,4,6.04
262,2023-10-08,Feijão Carioca 1kg,Mercearia,2,11.33
263,2023-09-10,Tomate Kg,Hortifrúti,6,6.39
264,2023-01-18,Tomate Kg,Hortifrúti,4,8.12
265,2023-01-20,Detergente Líquido 500ml,Limpeza,1,3.64
266,2023-01-15,Feijão Carioca 1kg,Mercearia,10,10.36
267,2023-06-29,Banana Prata Kg,Hortifrúti,8,6.96
268,2023-05-13,Leite Integral 1L,Laticínios e Frios,10,7.06
269,2023-03-14,Água Sanitária 1L,Limpeza,9,5.83
270,2023-06-22,Refrigerante 2L,Bebidas,3,7.34
271,2023-03-20,Suco de Laranja 1L,Bebidas,5,8.67
272,2023-07-20,Tomate Kg,Hortifrúti,5,8.58
273,2023-05-17,Tomate Kg,Hortifrúti,4,9.57
274,2023-01-19,Feijão Carioca 1kg,Mercearia,7,11.19
275,2023-09-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,12.0
276,2023-01-12,Detergente Líquido 500ml,Limpeza,7,3.31
277,2023-10-26,Feijão Carioca 1kg,Mercearia,7,10.67
278,2023-10-20,Sabão em Pó 1kg,Limpeza,5,15.08
279,2023-04-04,Suco de Laranja 1L,Bebidas,5,10.87
280,2023-04-09,Refrigerante 2L,Bebidas,2,8.45
281,2023-04-29,Sabão em Pó 1kg,Limpeza,1,18.09
282,2023-09-09,Água Sanitária 1L,Limpeza,6,4.74
283,2023-04-09,Arroz Branco 5kg,Mercearia,7,32.15
284,2023-02-24,Sabão em Pó 1kg,Limpeza,6,19.66
285,2023-05-28,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,12.45
286,2023-10-28,Água Mineral 1.5L,Bebidas,1,2.6
287,2023-09-20,Tomate Kg,Hortifrúti,6,9.23
288,2023-07-06,Sabão em Pó 1kg,Limpeza,10,21.27
289,2023-11-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,13.24
290,2023-10-24,Suco de Laranja 1L,Bebidas,7,8.29
291,2023-08-31,Sabão em Pó 1kg,Limpeza,5,22.52
292,2023-04-01,Sabão em Pó 1kg,Limpeza,9,18.47
293,2023-05-22,Detergente Líquido 500ml,Limpeza,4,4.15
294,2023-11-12,Detergente Líquido 500ml,Limpeza,4,3.6
295,2023-04-15,Tomate Kg,Hortifrúti,8,8.47
296,2023-10-11,Refrigerante 2L,Bebidas,10,7.65
297,2023-02-24,Suco de Laranja 1L,Bebidas,6,8.52
298,2023-07-21,Suco de Laranja 1L,Bebidas,9,9.98
299,2023-12-15,Feijão Carioca 1kg,Mercearia,7,8.79
300,2023-04-29,Sabão em Pó 1kg,Limpeza,3,23.56
301,2023-08-02,Cebola Kg,Hortifrúti,9,7.91
302,2023-11-22,Tomate Kg,Hortifrúti,4,10.6
303,2023-11-21,Biscoito Recheado,Mercearia,9,4.04
304,2023-02-14,Leite Integral 1L,Laticínios e Frios,4,5.33
305,2023-01-02,Água Mineral 1.5L,Bebidas,7,2.04
306,2023-09-16,Banana Prata Kg,Hortifrúti,8,8.96
307,2023-03-30,Refrigerante 2L,Bebidas,7,8.56
308,2023-03-17,Banana Prata Kg,Hortifrúti,10,5.67
309,2023-01-22,Refrigerante 2L,Bebidas,5,9.61
310,2023-11-28,Refrigerante 2L,Bebidas,5,10.79
311,2023-12-26,Sabão em Pó 1kg,Limpeza,6,16.67
312,2023-08-25,Cebola Kg,Hortifrúti,1,8.65
313,2023-07-21,Feijão Carioca 1kg,Mercearia,2,11.11
314,2023-06-30,Água Mineral 1.5L,Bebidas,10,2.23
315,2023-03-15,Tomate Kg,Hortifrúti,8,6.17
316,2023-06-29,Tomate Kg,Hortifrúti,1,6.23
317,2023-04-22,Refrigerante 2L,Bebidas,6,10.11
318,2023-10-17,Sabão em Pó 1kg,Limpeza,2,19.05
319,2023-03-03,Suco de Laranja 1L,Bebidas,5,11.66
320,2023-08-29,Biscoito Recheado,Mercearia,8,3.05
321,2023-02-25,Feijão Carioca 1kg,Mercearia,2,11.04
322,2023-11-16,Queijo Mussarela Fatiado 200g,Laticínios e Frios,4,14.48
323,2023-05-14,Cebola Kg,Hortifrúti,7,6.4
324,2023-10-12,Detergente Líquido 500ml,Limpeza,5,3.18
325,2023-06-14,Suco de Laranja 1L,Bebidas,4,8.23
326,2023-02-01,Sabão em Pó 1kg,Limpeza,9,18.02
327,2023-12-01,Biscoito Recheado,Mercearia,8,4.67
328,2023-02-11,Cebola Kg,Hortifrúti,10,6.24
329,2023-02-06,Água Sanitária 1L,Limpeza,7,4.62
330,2023-05-02,Detergente Líquido 500ml,Limpeza,10,2.01
331,2023-07-14,Água Mineral 1.5L,Bebidas,5,2.5
332,2023-06-28,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,12.53
333,2023-04-19,Arroz Branco 5kg,Mercearia,3,30.92
334,2023-11-01,Tomate Kg,Hortifrúti,7,9.89
335,2023-02-15,Cebola Kg,Hortifrúti,10,9.81
336,2023-12-13,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,17.1
337,2023-02-05,Cebola Kg,Hortifrúti,7,9.94
338,2023-09-15,Feijão Carioca 1kg,Mercearia,1,10.79
339,2023-07-12,Água Mineral 1.5L,Bebidas,2,3.13
340,2023-03-12,Água Mineral 1.5L,Bebidas,3,2.76
341,2023-08-25,Banana Prata Kg,Hortifrúti,7,8.64
342,2023-03-14,Água Sanitária 1L,Limpeza,1,4.26
343,2023-03-01,Água Sanitária 1L,Limpeza,9,6.61
344,2023-11-09,Banana Prata Kg,Hortifrúti,3,7.42
345,2023-05-17,Cebola Kg,Hortifrúti,9,5.23
346,2023-08-17,Iogurte Natural Copo,Laticínios e Frios,4,4.98
347,2023-12-22,Banana Prata Kg,Hortifrúti,7,6.25
348,2023-12-18,Biscoito Recheado,Mercearia,10,4.76
349,2023-11-04,Água Sanitária 1L,Limpeza,5,5.18
350,2023-02-06,Iogurte Natural Copo,Laticínios e Frios,1,3.89
351,2023-11-22,Cebola Kg,Hortifrúti,2,7.82
352,2023-05-08,Refrigerante 2L,Bebidas,5,10.6
353,2023-12-08,Suco de Laranja 1L,Bebidas,6,12.92
354,2023-12-10,Banana Prata Kg,Hortifrúti,7,7.72
355,2023-02-01,Banana Prata Kg,Hortifrúti,7,5.72
356,2023-03-16,Sabão em Pó 1kg,Limpeza,3,23.0
357,2023-12-04,Feijão Carioca 1kg,Mercearia,6,9.42
358,2023-02-03,Tomate Kg,Hortifrúti,9,8.83
359,2023-03-04,Banana Prata Kg,Hortifrúti,4,8.6
360,2023-12-25,Cebola Kg,Hortifrúti,9,7.58
361,2023-10-14,Refrigerante 2L,Bebidas,7,7.02
362,2023-08-28,Suco de Laranja 1L,Bebidas,1,10.13
363,2023-11-23,Água Mineral 1.5L,Bebidas,5,3.94
364,2023-07-31,Refrigerante 2L,Bebidas,9,10.85
365,2023-09-13,Feijão Carioca 1kg,Mercearia,6,12.0
366,2023-12-14,Tomate Kg,Hortifrúti,9,6.07
367,2023-08-22,Feijão Carioca 1kg,Mercearia,9,8.27
368,2023-12-14,Detergente Líquido 500ml,Limpeza,7,2.35
369,2023-12-17,Cebola Kg,Hortifrúti,7,8.93
370,2023-08-30,Sabão em Pó 1kg,Limpeza,6,20.7
371,2023-05-11,Iogurte Natural Copo,Laticínios e Frios,2,3.5
372,2023-08-26,Suco de Laranja 1L,Bebidas,9,10.95
373,2023-03-01,Biscoito Recheado,Mercearia,5,3.23
374,2023-10-17,Refrigerante 2L,Bebidas,1,10.73
375,2023-09-28,Sabão em Pó 1kg,Limpeza,4,20.99
376,2023-05-13,Feijão Carioca 1kg,Mercearia,5,8.19
377,2023-09-03,Biscoito Recheado,Mercearia,6,3.14
378,2023-04-20,Iogurte Natural Copo,Laticínios e Frios,2,5.84
379,2023-05-09,Banana Prata Kg,Hortifrúti,7,5.58
380,2023-07-30,Banana Prata Kg,Hortifrúti,4,7.25
381,2023-03-30,Água Mineral 1.5L,Bebidas,7,3.21
382,2023-01-19,Água Mineral 1.5L,Bebidas,4,3.46
383,2023-02-26,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,17.33
384,2023-09-09,Água Mineral 1.5L,Bebidas,2,4.0
385,2023-08-17,Iogurte Natural Copo,Laticínios e Frios,9,5.86
386,2023-06-29,Banana Prata Kg,Hortifrúti,6,8.04
387,2023-03-26,Leite Integral 1L,Laticínios e Frios,2,6.08
388,2023-12-12,Feijão Carioca 1kg,Mercearia,4,10.16
389,2023-07-17,Cebola Kg,Hortifrúti,7,6.93
390,2023-09-08,Arroz Branco 5kg,Mercearia,8,32.96
391,2023-07-20,Leite Integral 1L,Laticínios e Frios,10,6.41
392,2023-01-31,Iogurte Natural Copo,Laticínios e Frios,5,5.55
393,2023-03-24,Cebola Kg,Hortifrúti,10,8.29
394,2023-02-16,Detergente Líquido 500ml,Limpeza,9,3.4
395,2023-10-04,Tomate Kg,Hortifrúti,7,7.44
396,2023-12-20,Detergente Líquido 500ml,Limpeza,3,4.15
397,2023-01-08,Banana Prata Kg,Hortifrúti,3,5.09
398,2023-03-20,Água Sanitária 1L,Limpeza,4,5.27
399,2023-01-19,Água Sanitária 1L,Limpeza,7,5.8
400,2023-09-26,Arroz Branco 5kg,Mercearia,9,33.3
401,2023-06-21,Detergente Líquido 500ml,Limpeza,7,2.06
402,2023-11-14,Cebola Kg,Hortifrúti,9,8.41
403,2023-04-30,Refrigerante 2L,Bebidas,4,10.02
404,2023-08-01,Detergente Líquido 500ml,Limpeza,9,3.81
405,2023-06-06,Refrigerante 2L,Bebidas,9,8.48
406,2023-11-28,Refrigerante 2L,Bebidas,6,9.74
407,2023-04-01,Detergente Líquido 500ml,Limpeza,4,2.58
408,2023-02-15,Banana Prata Kg,Hortifrúti,6,8.31
409,2023-06-04,Queijo Mussarela Fatiado 200g,Laticínios e Frios,9,16.88
410,2023-05-23,Detergente Líquido 500ml,Limpeza,4,2.63
411,2023-06-13,Leite Integral 1L,Laticínios e Frios,9,7.38
412,2023-02-05,Queijo Mussarela Fatiado 200g,Laticínios e Frios,2,15.69
413,2023-05-01,Queijo Mussarela Fatiado 200g,Laticínios e Frios,9,17.0
414,2023-06-02,Feijão Carioca 1kg,Mercearia,9,8.17
